Titration report,,,,, ,
Method,,,,,,
Method ID,,000,,"Release state
",Released,
Name,,URIBioMin,,Modified by,SystemInternal,
Modified on,,5/29/2018 11:13:39 AM,,,,
Titration (EP) [1],,"Scope 1/1, Sample 1/3",,,,
Measured Values,,"Scope 1/1, Sample 1/3",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
0,0.0000,-44.8,,24.1,,
1,0.0010,-45.9,0.0010,24.2,-1.1,
2,0.0025,-46.1,0.0015,24.2,-0.2,
3,0.0050,-46.3,0.0025,24.2,-0.2,
4,0.0085,-46.5,0.0035,24.2,-0.2,
5,0.0145,-46.6,0.0060,24.2,-0.1,
6,0.0225,-46.6,0.0080,24.2,0.0,
7,0.0310,-46.6,0.0085,24.1,0.0,
8,0.0395,-46.5,0.0085,24.2,0.1,
9,0.0470,-46.4,0.0075,24.2,0.1,
10,0.0555,-46.1,0.0085,24.2,0.3,
11,0.0640,-45.7,0.0085,24.2,0.4,
12,0.0725,-45.3,0.0085,24.2,0.4,
13,0.0810,-44.8,0.0085,24.2,0.5,
14,0.0895,-44.3,0.0085,24.2,0.5,
15,0.0980,-43.7,0.0085,24.2,0.6,
16,0.1055,-43.0,0.0075,24.2,0.7,
17,0.1140,-42.3,0.0085,24.2,0.7,
18,0.1225,-41.6,0.0085,24.2,0.7,
19,0.1310,-40.7,0.0085,24.2,0.9,
20,0.1395,-39.9,0.0085,24.2,0.8,
21,0.1480,-38.9,0.0085,24.2,1.0,
22,0.1565,-38.1,0.0085,24.2,0.8,
23,0.1640,-37.1,0.0075,24.2,1.0,
24,0.1725,-36.1,0.0085,24.2,1.0,
25,0.1810,-35.1,0.0085,24.2,1.0,
26,0.1895,-34.0,0.0085,24.2,1.1,
27,0.1980,-32.9,0.0085,24.2,1.1,
28,0.2065,-31.9,0.0085,24.1,1.0,
29,0.2140,-30.9,0.0075,24.2,1.0,
30,0.2225,-29.9,0.0085,24.2,1.0,
31,0.2310,-28.9,0.0085,24.2,1.0,
32,0.2395,-27.9,0.0085,24.2,1.0,
33,0.2480,-26.9,0.0085,24.2,1.0,
34,0.2565,-26.0,0.0085,24.2,0.9,
35,0.2650,-25.2,0.0085,24.1,0.8,
36,0.2725,-24.3,0.0075,24.1,0.9,
37,0.2810,-23.5,0.0085,24.2,0.8,
38,0.2895,-22.7,0.0085,24.2,0.8,
39,0.2980,-21.9,0.0085,24.2,0.8,
40,0.3065,-21.1,0.0085,24.2,0.8,
41,0.3150,-20.3,0.0085,24.1,0.8,
42,0.3225,-19.6,0.0075,24.2,0.7,
43,0.3310,-18.8,0.0085,24.2,0.8,
44,0.3395,-18.1,0.0085,24.1,0.7,
45,0.3480,-17.4,0.0085,24.1,0.7,
46,0.3565,-16.7,0.0085,24.1,0.7,
47,0.3650,-16.0,0.0085,24.2,0.7,
48,0.3730,-15.3,0.0080,24.2,0.7,
49,0.3810,-14.7,0.0080,24.1,0.6,
50,0.3895,-14.1,0.0085,24.2,0.6,
51,0.3980,-13.4,0.0085,24.1,0.7,
52,0.4065,-12.8,0.0085,24.2,0.6,
53,0.4145,-12.1,0.0080,24.1,0.7,
54,0.4230,-11.6,0.0085,24.2,0.5,
55,0.4315,-11.0,0.0085,24.2,0.6,
56,0.4395,-10.4,0.0080,24.2,0.6,
57,0.4480,-9.9,0.0085,24.2,0.5,
58,0.4560,-9.3,0.0080,24.1,0.6,
59,0.4645,-8.7,0.0085,24.1,0.6,
60,0.4730,-8.2,0.0085,24.1,0.5,
61,0.4815,-7.7,0.0085,24.1,0.5,
62,0.4895,-7.2,0.0080,24.1,0.5,
63,0.4975,-6.7,0.0080,24.1,0.5,
64,0.5060,-6.0,0.0085,24.1,0.7,
65,0.5145,-5.2,0.0085,24.2,0.8,
66,0.5230,-4.4,0.0085,24.2,0.8,
67,0.5315,-3.7,0.0085,24.1,0.7,
68,0.5400,-3.1,0.0085,24.2,0.6,
69,0.5475,-2.5,0.0075,24.1,0.6,
70,0.5560,-1.8,0.0085,24.1,0.7,
71,0.5645,-1.2,0.0085,24.1,0.6,
72,0.5730,-0.5,0.0085,24.1,0.7,
73,0.5815,-0.8,0.0085,24.2,-0.3,
74,0.5900,-0.7,0.0085,24.2,0.1,
75,0.5985,-0.3,0.0085,24.2,0.4,
76,0.6060,0.0,0.0075,24.1,0.3,
77,0.6145,0.6,0.0085,24.1,0.6,
78,0.6230,1.5,0.0085,24.1,0.9,
79,0.6315,2.3,0.0085,24.1,0.8,
80,0.6400,2.8,0.0085,24.1,0.5,
81,0.6485,3.3,0.0085,24.1,0.5,
82,0.6560,3.6,0.0075,24.1,0.3,
83,0.6645,4.2,0.0085,24.1,0.6,
84,0.6730,4.6,0.0085,24.1,0.4,
85,0.6815,5.0,0.0085,24.2,0.4,
86,0.6900,5.4,0.0085,24.1,0.4,
87,0.6985,5.7,0.0085,24.1,0.3,
88,0.7070,6.1,0.0085,24.1,0.4,
89,0.7145,6.5,0.0075,24.1,0.4,
90,0.7230,7.1,0.0085,24.1,0.6,
91,0.7315,7.7,0.0085,24.1,0.6,
92,0.7400,8.4,0.0085,24.1,0.7,
93,0.7485,9.1,0.0085,24.1,0.7,
94,0.7570,9.8,0.0085,24.1,0.7,
95,0.7655,10.3,0.0085,24.1,0.5,
96,0.7730,11.0,0.0075,24.1,0.7,
97,0.7815,11.5,0.0085,24.1,0.5,
98,0.7900,12.1,0.0085,24.1,0.6,
99,0.7985,12.7,0.0085,24.1,0.6,
100,0.8070,13.3,0.0085,24.1,0.6,
101,0.8155,13.9,0.0085,24.1,0.6,
102,0.8230,14.4,0.0075,24.1,0.5,
103,0.8315,15.0,0.0085,24.1,0.6,
104,0.8400,15.6,0.0085,24.1,0.6,
105,0.8485,16.1,0.0085,24.1,0.5,
106,0.8570,16.7,0.0085,24.1,0.6,
107,0.8655,17.3,0.0085,24.1,0.6,
108,0.8740,17.9,0.0085,24.1,0.6,
109,0.8815,18.4,0.0075,24.1,0.5,
110,0.8900,19.0,0.0085,24.1,0.6,
111,0.8985,19.6,0.0085,24.1,0.6,
112,0.9070,20.2,0.0085,24.1,0.6,
113,0.9155,20.8,0.0085,24.1,0.6,
114,0.9235,21.5,0.0080,24.1,0.7,
115,0.9315,22.1,0.0080,24.1,0.6,
116,0.9400,22.7,0.0085,24.1,0.6,
117,0.9485,23.3,0.0085,24.1,0.6,
118,0.9570,24.0,0.0085,24.1,0.7,
119,0.9650,24.7,0.0080,24.1,0.7,
120,0.9735,25.4,0.0085,24.1,0.7,
121,0.9820,26.0,0.0085,24.1,0.6,
122,0.9900,26.7,0.0080,24.1,0.7,
123,0.9985,27.4,0.0085,24.1,0.7,
124,1.0070,28.2,0.0085,24.1,0.8,
125,1.0150,28.9,0.0080,24.1,0.7,
126,1.0235,29.7,0.0085,24.1,0.8,
127,1.0320,30.5,0.0085,24.1,0.8,
128,1.0405,31.3,0.0085,24.1,0.8,
129,1.0480,32.0,0.0075,24.1,0.7,
130,1.0565,32.9,0.0085,24.1,0.9,
131,1.0650,33.8,0.0085,24.1,0.9,
132,1.0735,34.6,0.0085,24.1,0.8,
133,1.0820,35.5,0.0085,24.1,0.9,
134,1.0905,36.4,0.0085,24.1,0.9,
135,1.0990,37.4,0.0085,24.1,1.0,
136,1.1065,38.3,0.0075,24.1,0.9,
137,1.1150,39.3,0.0085,24.1,1.0,
138,1.1235,40.4,0.0085,24.1,1.1,
139,1.1320,41.5,0.0085,24.1,1.1,
140,1.1405,42.6,0.0085,24.1,1.1,
141,1.1490,43.8,0.0085,24.1,1.2,
142,1.1575,44.9,0.0085,24.1,1.1,
143,1.1650,46.2,0.0075,24.1,1.3,
144,1.1735,47.6,0.0085,24.1,1.4,
145,1.1820,49.0,0.0085,24.1,1.4,
146,1.1905,50.5,0.0085,24.1,1.5,
147,1.1990,52.0,0.0085,24.1,1.5,
148,1.2075,53.7,0.0085,24.1,1.7,
149,1.2150,55.2,0.0075,24.1,1.5,
150,1.2235,57.0,0.0085,24.1,1.8,
151,1.2320,59.0,0.0085,24.1,2.0,
152,1.2405,61.2,0.0085,24.1,2.2,
153,1.2490,63.4,0.0085,24.1,2.2,
154,1.2575,65.9,0.0085,24.1,2.5,
155,1.2660,68.4,0.0085,24.1,2.5,
156,1.2735,71.4,0.0075,24.1,3.0,
157,1.2820,74.6,0.0085,24.1,3.2,
158,1.2905,78.1,0.0085,24.1,3.5,
