Titration report,,,,, ,
Method,,,,,,
Method ID,,000,,"Release state
",Released,
Name,,URIBioMin,,Modified by,SystemInternal,
Modified on,,5/29/2018 11:13:39 AM,,,,
Titration (EP) [1],,"Scope 1/1, Sample 1/3",,,,
Measured Values,,"Scope 1/1, Sample 1/3",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
0,0.0000,-37.0,,26.1,,
1,0.0010,-37.7,0.0010,26.1,-0.7,
2,0.0025,-37.6,0.0015,26.1,0.1,
3,0.0050,-37.7,0.0025,26.1,-0.1,
4,0.0085,-37.6,0.0035,26.1,0.1,
5,0.0150,-37.3,0.0065,26.1,0.3,
6,0.0230,-36.6,0.0080,26.1,0.7,
7,0.0315,-35.9,0.0085,26.1,0.7,
8,0.0400,-34.9,0.0085,26.1,1.0,
9,0.0475,-33.6,0.0075,26.1,1.3,
10,0.0560,-32.2,0.0085,26.1,1.4,
11,0.0645,-30.5,0.0085,26.1,1.7,
12,0.0730,-28.9,0.0085,26.1,1.6,
13,0.0815,-27.2,0.0085,26.1,1.7,
14,0.0900,-25.2,0.0085,26.1,2.0,
15,0.0985,-23.2,0.0085,26.1,2.0,
16,0.1060,-21.1,0.0075,26.1,2.1,
17,0.1145,-18.6,0.0085,26.1,2.5,
18,0.1230,-16.0,0.0085,26.1,2.6,
19,0.1315,-13.5,0.0085,26.1,2.5,
20,0.1400,-10.9,0.0085,26.1,2.6,
21,0.1485,-8.6,0.0085,26.1,2.3,
22,0.1560,-6.6,0.0075,26.1,2.0,
23,0.1645,-3.3,0.0085,26.1,3.3,
24,0.1730,-0.9,0.0085,26.1,2.4,
25,0.1815,-0.3,0.0085,26.1,0.6,
26,0.1900,1.4,0.0085,26.1,1.7,
27,0.1985,3.7,0.0085,26.1,2.3,
28,0.2070,4.8,0.0085,26.1,1.1,
29,0.2145,5.7,0.0075,26.1,0.9,
30,0.2230,7.0,0.0085,26.1,1.3,
31,0.2315,8.7,0.0085,26.1,1.7,
32,0.2400,9.9,0.0085,26.1,1.2,
33,0.2485,11.4,0.0085,26.1,1.5,
34,0.2570,12.5,0.0085,26.1,1.1,
35,0.2655,13.5,0.0085,26.1,1.0,
36,0.2730,14.7,0.0075,26.1,1.2,
37,0.2815,15.8,0.0085,26.1,1.1,
38,0.2900,16.6,0.0085,26.1,0.8,
39,0.2985,17.6,0.0085,26.1,1.0,
40,0.3070,18.6,0.0085,26.1,1.0,
41,0.3155,19.6,0.0085,26.1,1.0,
42,0.3240,20.7,0.0085,26.1,1.1,
43,0.3315,21.7,0.0075,26.1,1.0,
44,0.3400,22.6,0.0085,26.1,0.9,
45,0.3485,23.4,0.0085,26.1,0.8,
46,0.3570,24.3,0.0085,26.1,0.9,
47,0.3655,25.2,0.0085,26.1,0.9,
48,0.3735,26.0,0.0080,26.1,0.8,
49,0.3815,26.8,0.0080,26.1,0.8,
50,0.3900,27.6,0.0085,26.1,0.8,
51,0.3985,28.5,0.0085,26.1,0.9,
52,0.4070,29.2,0.0085,26.1,0.7,
53,0.4150,30.2,0.0080,26.1,1.0,
54,0.4235,31.0,0.0085,26.1,0.8,
55,0.4320,31.8,0.0085,26.1,0.8,
56,0.4400,32.4,0.0080,26.1,0.6,
57,0.4480,33.1,0.0080,26.1,0.7,
58,0.4565,33.9,0.0085,26.1,0.8,
59,0.4650,34.7,0.0085,26.1,0.8,
60,0.4735,35.5,0.0085,26.1,0.8,
61,0.4820,36.2,0.0085,26.1,0.7,
62,0.4905,37.0,0.0085,26.1,0.8,
63,0.4980,37.8,0.0075,26.1,0.8,
64,0.5065,38.5,0.0085,26.1,0.7,
65,0.5150,39.5,0.0085,26.1,1.0,
66,0.5235,40.1,0.0085,26.1,0.6,
67,0.5320,40.6,0.0085,26.1,0.5,
68,0.5405,41.8,0.0085,26.1,1.2,
69,0.5490,42.3,0.0085,26.1,0.5,
70,0.5565,43.0,0.0075,26.1,0.7,
71,0.5650,43.7,0.0085,26.1,0.7,
72,0.5735,44.7,0.0085,26.1,1.0,
73,0.5820,45.4,0.0085,26.1,0.7,
74,0.5905,46.0,0.0085,26.1,0.6,
75,0.5990,46.7,0.0085,26.1,0.7,
76,0.6065,47.2,0.0075,26.1,0.5,
77,0.6150,47.9,0.0085,26.1,0.7,
78,0.6235,48.7,0.0085,26.1,0.8,
79,0.6320,49.3,0.0085,26.1,0.6,
80,0.6405,50.1,0.0085,26.1,0.8,
81,0.6490,50.7,0.0085,26.1,0.6,
82,0.6575,51.3,0.0085,26.1,0.6,
83,0.6650,51.9,0.0075,26.1,0.6,
84,0.6735,52.8,0.0085,26.1,0.9,
85,0.6820,53.5,0.0085,26.1,0.7,
86,0.6905,54.2,0.0085,26.1,0.7,
87,0.6990,55.0,0.0085,26.1,0.8,
88,0.7075,55.5,0.0085,26.1,0.5,
89,0.7150,56.1,0.0075,26.0,0.6,
90,0.7235,56.8,0.0085,26.1,0.7,
91,0.7320,57.4,0.0085,26.1,0.6,
92,0.7405,58.2,0.0085,26.1,0.8,
93,0.7490,59.4,0.0085,26.0,1.2,
94,0.7575,59.8,0.0085,26.0,0.4,
95,0.7660,60.7,0.0085,26.1,0.9,
96,0.7735,61.1,0.0075,26.0,0.4,
97,0.7820,61.6,0.0085,26.0,0.5,
98,0.7905,62.4,0.0085,26.0,0.8,
99,0.7990,63.2,0.0085,26.1,0.8,
100,0.8075,63.8,0.0085,26.1,0.6,
101,0.8160,64.6,0.0085,26.0,0.8,
102,0.8245,65.3,0.0085,26.0,0.7,
103,0.8320,65.6,0.0075,26.0,0.3,
104,0.8405,66.6,0.0085,26.0,1.0,
105,0.8490,67.6,0.0085,26.0,1.0,
106,0.8575,68.7,0.0085,26.0,1.1,
107,0.8660,69.4,0.0085,26.0,0.7,
108,0.8740,69.7,0.0080,26.0,0.3,
109,0.8825,70.5,0.0085,26.0,0.8,
110,0.8905,71.1,0.0080,26.0,0.6,
111,0.8990,71.8,0.0085,26.0,0.7,
112,0.9070,72.7,0.0080,26.0,0.9,
113,0.9155,73.5,0.0085,26.0,0.8,
114,0.9240,74.2,0.0085,26.0,0.7,
115,0.9325,75.1,0.0085,26.0,0.9,
116,0.9410,75.7,0.0085,26.0,0.6,
117,0.9485,76.9,0.0075,26.0,1.2,
118,0.9570,77.6,0.0085,26.0,0.7,
119,0.9655,78.5,0.0085,26.0,0.9,
120,0.9740,79.8,0.0085,26.0,1.3,
121,0.9825,80.8,0.0085,26.0,1.0,
122,0.9910,81.4,0.0085,26.0,0.6,
123,0.9985,82.1,0.0075,26.0,0.7,
124,1.0070,83.0,0.0085,26.0,0.9,
125,1.0155,84.4,0.0085,26.0,1.4,
126,1.0240,85.0,0.0085,26.0,0.6,
127,1.0325,85.8,0.0085,26.0,0.8,
128,1.0410,87.0,0.0085,26.0,1.2,
129,1.0495,88.0,0.0085,26.0,1.0,
130,1.0570,88.7,0.0075,26.0,0.7,
131,1.0655,90.0,0.0085,26.0,1.3,
132,1.0740,91.4,0.0085,26.0,1.4,
133,1.0825,92.9,0.0085,26.0,1.5,
134,1.0910,93.7,0.0085,26.0,0.8,
135,1.0995,95.0,0.0085,26.0,1.3,
136,1.1080,96.1,0.0085,26.0,1.1,
137,1.1155,97.5,0.0075,26.0,1.4,
138,1.1240,98.2,0.0085,26.0,0.7,
139,1.1325,99.9,0.0085,26.0,1.7,
140,1.1410,101.5,0.0085,26.0,1.6,
141,1.1495,102.8,0.0085,26.0,1.3,
142,1.1580,105.6,0.0085,26.0,2.8,
143,1.1655,106.1,0.0075,26.0,0.5,
144,1.1740,107.9,0.0085,26.0,1.8,
145,1.1825,109.1,0.0085,26.0,1.2,
146,1.1910,110.3,0.0085,26.0,1.2,
147,1.1995,112.9,0.0085,26.0,2.6,
148,1.2080,115.0,0.0085,26.0,2.1,
149,1.2165,118.1,0.0085,26.0,3.1,
150,1.2240,119.1,0.0075,26.0,1.0,
151,1.2325,121.3,0.0085,26.0,2.2,
152,1.2410,123.7,0.0085,26.0,2.4,
153,1.2495,126.3,0.0085,26.0,2.6,
154,1.2580,129.2,0.0085,26.0,2.9,
155,1.2665,132.0,0.0085,26.0,2.8,
156,1.2750,135.0,0.0085,26.0,3.0,
157,1.2825,138.3,0.0075,26.0,3.3,
158,1.2910,141.6,0.0085,26.0,3.3,
159,1.2995,145.0,0.0085,26.0,3.4,
160,1.3080,148.0,0.0085,26.0,3.0,
