,Date.Time,Tmp_XL,pH_XL,Salt_XL,Tmp_L,pH_L,Salt_L,Tmp_A,pH_A,Salt_A
4,6/8/18 0:00,26.5,7.24,30.5,26.4,7.61,32.6,26.3,7.8,34
5,6/8/18 0:05,26.5,7.4,30.5,26.4,7.59,32.4,26.3,7.8,34
6,6/8/18 0:10,26.5,7.36,30.5,26.4,7.61,32.6,26.3,7.78,34
7,6/8/18 0:15,26.5,7.34,30.5,26.4,7.57,32.6,26.3,7.77,34
8,6/8/18 0:20,26.5,7.3,30.5,26.4,7.6,32.6,26.3,7.77,34
9,6/8/18 0:25,26.5,7.37,30.5,26.4,7.57,32.6,26.3,7.77,34
10,6/8/18 0:30,26.5,7.39,30.5,26.4,7.6,32.6,26.3,7.77,34
11,6/8/18 0:35,26.5,7.36,30.5,26.4,7.59,32.4,26.3,7.78,34
12,6/8/18 0:40,26.5,7.32,30.5,26.4,7.6,32.6,26.3,7.78,34
13,6/8/18 0:45,26.5,7.26,30.5,26.4,7.59,32.6,26.3,7.79,34
14,6/8/18 0:50,26.5,7.4,30.5,26.4,7.59,32.6,26.3,7.79,34
15,6/8/18 0:55,26.5,7.36,30.5,26.4,7.61,32.6,26.3,7.8,34
16,6/8/18 1:00,26.5,7.33,30.5,26.4,7.57,32.6,26.3,7.8,34
17,6/8/18 1:05,26.5,7.3,30.5,26.4,7.6,32.6,26.3,7.8,34
18,6/8/18 1:10,26.5,7.41,30.5,26.4,7.57,32.6,26.3,7.77,34
19,6/8/18 1:15,26.5,7.38,30.5,26.4,7.6,32.4,26.3,7.76,34
20,6/8/18 1:20,26.5,7.35,30.5,26.4,7.59,32.6,26.3,7.75,34
21,6/8/18 1:25,26.5,7.32,29.3,26.4,7.59,32.6,26.3,7.75,34
22,6/8/18 1:30,26.5,7.3,30.5,26.4,7.59,32.6,26.3,7.75,34
23,6/8/18 1:35,26.5,7.4,30.5,26.4,7.59,32.4,26.3,7.76,34
24,6/8/18 1:40,26.5,7.36,30.3,26.4,7.61,32.4,26.4,7.76,34
25,6/8/18 1:45,26.5,7.33,30.3,26.4,7.59,32.1,26.4,7.76,34
26,6/8/18 1:50,26.5,7.28,30.3,26.4,7.61,32.6,26.4,7.77,34
27,6/8/18 1:55,26.5,7.4,30.3,26.4,7.57,32.4,26.4,7.77,34
28,6/8/18 2:00,26.5,7.36,30.3,26.4,7.6,32.6,26.4,7.78,34
29,6/8/18 2:05,26.5,7.33,30.3,26.3,7.57,32.6,26.3,7.78,34
30,6/8/18 2:10,26.5,7.27,30.3,26.3,7.59,32.6,26.3,7.79,33.9
31,6/8/18 2:15,26.5,7.4,30.3,26.3,7.61,32.6,26.3,7.79,33.9
32,6/8/18 2:20,26.5,7.36,30.3,26.3,7.57,32.4,26.3,7.79,33.9
33,6/8/18 2:25,26.5,7.33,30.3,26.3,7.61,32.6,26.3,7.79,33.9
34,6/8/18 2:30,26.5,7.26,30.3,26.3,7.57,32.6,26.3,7.8,33.9
35,6/8/18 2:35,26.5,7.4,30.3,26.3,7.6,32.6,26.3,7.78,33.9
36,6/8/18 2:40,26.5,7.36,30.3,26.3,7.59,32.4,26.3,7.76,33.9
37,6/8/18 2:45,26.4,7.34,30.3,26.3,7.59,31.8,26.3,7.76,33.9
38,6/8/18 2:50,26.4,7.28,30.3,26.3,7.61,30.9,26.3,7.76,33.9
39,6/8/18 2:55,26.4,7.4,30.3,26.3,7.57,32.4,26.3,7.76,33.9
40,6/8/18 3:00,26.4,7.36,30.3,26.3,7.61,32.6,26.3,7.76,33.9
41,6/8/18 3:05,26.4,7.33,30.3,26.3,7.57,32.5,26.3,7.76,33.9
42,6/8/18 3:10,26.4,7.26,30.3,26.3,7.6,32.5,26.3,7.76,33.9
43,6/8/18 3:15,26.4,7.4,30.3,26.3,7.59,32.4,26.3,7.76,33.9
44,6/8/18 3:20,26.4,7.35,30.3,26.3,7.59,32.5,26.3,7.77,33.9
45,6/8/18 3:25,26.4,7.32,30.3,26.3,7.61,32.4,26.3,7.77,33.9
46,6/8/18 3:30,26.4,7.34,30.3,26.3,7.57,32.4,26.3,7.78,33.9
47,6/8/18 3:35,26.4,7.38,30.3,26.3,7.61,32.4,26.3,7.78,33.9
48,6/8/18 3:40,26.4,7.34,30.3,26.3,7.57,32.5,26.3,7.79,33.9
49,6/8/18 3:45,26.4,7.3,30.3,26.3,7.59,32.5,26.3,7.79,33.9
50,6/8/18 3:50,26.4,7.41,30.3,26.3,7.59,32.5,26.3,7.79,33.9
51,6/8/18 3:55,26.4,7.36,30.3,26.3,7.57,32.4,26.3,7.79,33.9
52,6/8/18 4:00,26.4,7.32,30.3,26.3,7.61,32.5,26.3,7.8,33.9
53,6/8/18 4:05,26.4,7.24,30.3,26.3,7.57,32.5,26.3,7.8,33.9
54,6/8/18 4:10,26.4,7.39,30.3,26.3,7.59,32.4,26.3,7.8,33.9
55,6/8/18 4:15,26.4,7.34,30.3,26.3,7.59,32.5,26.3,7.8,33.9
56,6/8/18 4:20,26.4,7.3,30.3,26.3,7.57,32.4,26.3,7.8,33.9
57,6/8/18 4:25,26.4,7.41,30.3,26.3,7.61,32.5,26.3,7.8,33.9
58,6/8/18 4:30,26.4,7.38,30.3,26.3,7.57,32.5,26.3,7.79,33.9
59,6/8/18 4:35,26.4,7.34,30.3,26.3,7.6,32.5,26.3,7.77,33.9
60,6/8/18 4:40,26.4,7.3,30.3,26.3,7.57,32.4,26.3,7.76,33.9
61,6/8/18 4:45,26.4,7.41,30.3,26.3,7.59,32.5,26.3,7.76,33.9
62,6/8/18 4:50,26.4,7.36,30.3,26.3,7.61,32.5,26.3,7.75,33.9
63,6/8/18 4:55,26.4,7.32,30.3,26.3,7.57,32.5,26.3,7.75,33.9
64,6/8/18 5:00,26.3,7.26,30.3,26.3,7.6,32.5,26.3,7.75,33.9
65,6/8/18 5:05,26.3,7.38,30.3,26.3,7.57,32.5,26.3,7.75,33.9
66,6/8/18 5:10,26.3,7.33,30.3,26.3,7.57,32.4,26.2,7.74,33.9
67,6/8/18 5:15,26.3,7.24,30.3,26.3,7.6,32.5,26.2,7.74,33.9
68,6/8/18 5:20,26.3,7.39,30.3,26.3,7.57,32.5,26.2,7.74,33.8
69,6/8/18 5:25,26.3,7.34,30.3,26.2,7.59,32.4,26.2,7.75,33.8
70,6/8/18 5:30,26.3,7.29,30.3,26.2,7.61,32.4,26.2,7.75,33.8
71,6/8/18 5:35,26.3,7.41,30.3,26.2,7.57,32.4,26.2,7.75,33.8
72,6/8/18 5:40,26.3,7.38,30.3,26.2,7.6,32.4,26.2,7.76,33.8
73,6/8/18 5:45,26.3,7.33,30.3,26.2,7.59,32.5,26.2,7.77,33.8
74,6/8/18 5:50,26.3,7.26,30.3,26.2,7.59,32.5,26.2,7.77,33.8
75,6/8/18 5:55,26.3,7.39,30.3,26.2,7.61,32.4,26.2,7.77,33.8
